Date,Revenue,change_percentage
3/31/2019,"$3,099 ",0.199303406
6/30/2019,"$3,166 ",0.143786127
9/30/2019,"$3,813 ",0.29517663
12/31/2019,"$2,922 ",0.367337389
3/31/2020,"$3,248 ",0.048080026
6/30/2020,"$1,913 ",-0.39576753
9/30/2020,"$2,813 ",-0.262260687
12/31/2020,"$3,165 ",0.083162218
3/31/2021,"$2,903 ",-0.106219212
6/30/2021,"$3,929 ",1.053842133
9/30/2021,"$4,845 ",0.722360469
12/31/2021,"$5,778 ",0.825592417
3/31/2022,"$6,854 ",1.361005856
6/30/2022,"$8,073 ",1.054721303
9/30/2022,"$8,343 ",0.721981424
