Date,Revenue,change_percentage,normal
3/31/2019,"$15,077 ",-0.041369768,0.67910177
6/30/2019,"$16,886 ",-0.041369768,0.741018413
9/30/2019,"$17,652 ",-0.041369768,0.765239175
12/31/2019,"$21,082 ",-0.041369768,0.857017602
3/31/2020,"$17,737 ",-0.041369768,0.767847461
6/30/2020,"$18,687 ",-0.041369768,0.795877589
9/30/2020,"$21,470 ",-0.041369768,0.865615387
12/31/2020,"$28,071 ",-0.041369768,0.961424399
3/31/2021,"$26,171 ",-0.041369768,0.942606866
6/30/2021,"$29,077 ",-0.041369768,0.969138644
9/30/2021,"$29,010 ",-0.041369768,0.968667971
12/31/2021,"$33,671 ",-0.041369768,0.990062457
3/31/2022,"$27,908 ",-0.041369768,0.960037732
6/30/2022,"$28,822 ",-0.041369768,0.967315494
9/30/2022,"$27,714 ",,0.958334832
